x,y,class
244,619,subject
1731,619,subject
1831,619,subject
2139,620,subject
161,622,subject
604,623,subject
1134,623,subject
1170,623,subject
2288,623,subject
2437,623,subject
1571,624,subject
801,625,subject
1357,625,subject
1558,625,subject
1628,625,subject
1812,625,subject
2110,625,subject
2351,625,subject
456,626,subject
953,626,subject
1770,626,subject
1862,626,subject
1927,626,subject
62,627,subject
296,627,subject
2260,627,subject
1086,628,subject
222,629,subject
1479,629,subject
2045,630,subject
419,631,subject
1211,631,subject
1609,631,subject
154,632,subject
214,632,subject
1422,632,subject
105,634,subject
1464,634,subject
2295,634,subject
398,635,subject
972,635,subject
1161,636,subject
1199,636,subject
1683,636,subject
1876,636,subject
233,637,subject
1975,637,subject
2174,637,subject
2274,637,subject
848,639,subject
1589,639,subject
445,640,subject
1026,640,subject
1549,640,subject
1651,640,subject
2078,640,subject
1923,641,subject
2029,641,subject
702,642,subject
1992,642,subject
43,643,subject
1250,643,subject
1372,643,subject
2154,643,subject
2321,643,subject
307,644,subject
325,644,subject
900,644,subject
1312,644,subject
2010,644,subject
1394,645,subject
1458,645,subject
1668,645,subject
1759,645,subject
2402,645,subject
2490,645,subject
961,646,subject
1124,646,subject
1960,646,subject
2202,646,subject
215,647,subject
460,647,subject
912,647,subject
1064,647,subject
1519,647,subject
2253,647,subject
1612,648,subject
1633,648,subject
1786,648,subject
1941,649,subject
2053,649,subject
480,650,subject
2033,650,subject
2447,650,subject
350,651,subject
1584,651,subject
952,652,subject
1830,652,subject
2222,652,subject
749,653,subject
869,653,subject
1731,653,subject
2112,653,subject
282,654,subject
2136,655,subject
930,657,subject
1735,657,subject
2088,658,subject
1247,659,subject
1484,659,subject
2391,659,subject
843,660,subject
2150,660,subject
194,661,subject
368,661,subject
1856,661,subject
2286,661,subject
2308,661,subject
424,662,subject
445,662,subject
1215,662,subject
0,663,subject
1762,663,subject
1144,664,subject
1891,664,subject
1923,664,subject
2264,664,subject
2474,664,subject
162,665,subject
1660,665,subject
913,666,subject
1390,666,subject
772,667,subject
1016,667,subject
1572,668,subject
345,669,subject
1540,669,subject
1609,669,subject
2045,669,subject
170,670,subject
597,670,subject
872,670,subject
1688,670,subject
1789,670,subject
1968,670,subject
250,671,subject
2001,671,subject
2207,671,subject
502,672,subject
952,672,subject
1635,672,subject
815,673,subject
1065,674,subject
1199,674,subject
1709,674,subject
1299,675,subject
1839,675,subject
0,676,subject
966,676,subject
369,677,subject
1274,677,subject
267,678,subject
2328,678,subject
2381,678,subject
1503,679,subject
238,680,subject
1650,680,subject
1767,680,subject
438,681,subject
1185,681,subject
2359,681,subject
1556,682,subject
1940,682,subject
2289,682,subject
2435,682,subject
288,683,subject
745,683,subject
1225,683,subject
1991,683,subject
203,684,subject
926,684,subject
1881,684,subject
2149,684,subject
461,685,subject
761,685,subject
188,686,subject
2172,686,subject
2395,686,subject
160,687,subject
414,687,subject
983,687,subject
1684,687,subject
312,688,subject
1137,688,subject
1596,689,subject
2471,689,subject
1290,690,subject
2052,690,subject
2115,690,subject
359,691,subject
916,691,subject
1618,691,subject
1719,691,subject
377,692,subject
